"Payment is completed","Bezahlung ist erfolgreich abgeschlossen"
"Payment is pending","Bezahlung wird verarbeitet"
"Place Order","Bestellung aufgeben"
"Please use the following data to make the banktransfer","Bitte verwenden Sie folgende Bankkontodaten, um die Banküberweisung zu machen"
"Product","Produkt"
"Reference: %1","Zahlungsreferenz: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Löst Frage, wenn curl.cacert Pfad nicht in PHP.ini eingestellt wird."
"Send Invoice Email","Rechnungs-E-Mail senden"
"Send order mail","Bestellung-E-Mail senden"
"Set the notification for to Notify the customer with the Invoice","Rechnungs-E-Mail einstellen für Kunden"
"Set the order status before the customer is redirected to Payment Gateway","Stellen Sie den Bestellstatus ein, bevor der Kunde an Payment Gateway umgeleitet wird"
"Set the order status for Completed Payments","Bestellstatus einstellen für erfolgreich abgeschlossene Zahlungen"
"Settings","Einstellungen"
"Something went wrong.","Leider ist ein Fehler bei der Verarbeitung Ihrer Bezahlung aufgetreten."
"Sort Order","Sortierung"
"Status Pending","Status Pending"
"Status Processing","Status verarbeitung"
"Test API Key","Test API Schlüssel"
"Test","Test"
"Thank you for your purchase!","Vielen Dank für Ihren Einkauf!"
"The order was canceled","Die Bestellung wurde annuliert"
"There was an error checking the transaction status.","Es gab einen Fehler den Transaktionsstatus zu überprüfen."
"There was a problem processing your payment because it expired. Please try again.","Leider ist ein Fehler bei der Verarbeitung Ihrer Bezahlung aufgetreten weil es abgelaufen ist. Bitte noch einmal zu versuchen."
"There was a problem processing your payment because it failed. Please try again.","Leider ist ein Fehler bei der Verarbeitung Ihrer Bezahlung aufgetreten weil es ausgefallen ist. Bitte noch einmal zu versuchen."
"There was a problem processing your payment because it has been cancelled. Please try again.","Leider ist ein Fehler bei der Verarbeitung Ihrer Bezahlung aufgetreten weil es abgebrochen wurde. Bitte noch einmal zu versuchen."
"Title","Titel"
"Transaction Error","Transaktionsfehler"
"Transaction not found","Transaktion nicht gefunden"
"Use %id% for order increment id","Benutzen Sie %id% für die Inkrementierung der Bestell-ID"
"Used for testing Klarna payment method.","Der Test-API Key ist nur für Klarna. Entfernen, wenn sie nicht verwendet wird."
"Version","Version"
"Webhook URL","Webhook URL"
"When activated the debug file will be located in: var/log/ems.log","Wenn die Debug-Einstellungen aktiviert sind, befindet sich die Debug-Datei in: var/log/ems.log"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Ihre Bestellung wurde empfangen. Vielen Dank für Ihren Einkauf! Wir können Ihre Bestellung so schnell wie möglich versenden werden. Bei Fragen wenden Sie sich bitte an unseren Kundendienst."
"Your order has been received. Thank you for your purchase! The payment with iDeal is still <strong>processing</strong>. You will receive the order email once the payment is successful.","Ihre Bestellung ist eingegangen. Danke für Ihren Einkauf! Die Zahlung mit iDeal ist noch <strong>verarbeitet</strong>. Sie erhalten die Auftrags-E-Mail, sobald die Zahlung erfolgreich ist.."
"Your order has been received. Thank you for your purchase! The payment with Klarna Direct is <strong>pending</strong>. You will receive the order email once the payment is successful.","Ihre Bestellung ist eingegangen. Danke für Ihren Einkauf! Die Zahlung mit Klarna Direct ist noch <strong>verarbeitet</strong>. Sie erhalten die Auftrags-E-Mail, sobald die Zahlung erfolgreich ist."
"Your order has been received.","Ihre Bestellung wurde empfangen."
"Your order %id% at %name%","Ihre bestellung %id% bei %name%"
"Unfortunately, you cannot use AfterPay as Afterpay is only available for addresses in the Netherlands and Belgium. Please use the correct address or select another payment method.","Leider können Sie AfterPay nicht verwenden, da Afterpay nur in den Niederlanden und Belgien verfügbar ist. Bitte verwenden Sie die richtige Adresse oder wählen Sie eine andere Zahlungsmethode."
"-- Select your bank","-- Wählen Sie Ihre Bank"
